Abraham_Beame	birthPlace	Alan_Ramsay
Abby_Rakic-Platt	birthPlace	Ages_Of_Light
Adrian_Pettigrew	birthPlace	Alburnus_scoranza
Alan_Rickman	birthPlace	Acie_Law
Alan_West,_Baron_West_of_Spithead	birthPlace	French_Army
Albert_Edward_McKenzie	birthPlace	18497
Ahsan_Khan_(actor)	birthPlace	Aima,_Dakrya_&_Idrotas
Abigail_Thaw	birthPlace	Actinella_obserata
Albert_Foan	birthPlace	Agostina_Belli
Alan_Nelmes	birthPlace	Aba_I
Alan_Caddy	birthPlace	Alastair_Yates
Alan_Mowbray	birthPlace	310th_Airlift_Squadron
Alan_Fenton	birthPlace	Albasat_TV
Alan_Percy,_8th_Duke_of_Northumberland	birthPlace	7620.0
Akpo_Sodje	birthPlace	4280.0
Adam_Watts_(footballer)	birthPlace	6400000.0
Aaron_Patton	birthPlace	Adolfo_Su¨¢rez_Illana
Akram_Khan_(dancer)	birthPlace	Margrave of Baden-Hachberg (1476-1488)
Alan_Aldridge	birthPlace	Alcaligenes_latus
Alan_Fersht	birthPlace	Abdoulaye_Ba
A._A._Milne	birthPlace	62nd_Infantry_Division_Marmarica
Adela_Maddison	birthPlace	Ahrre_Maros
Alan_Pardew	birthPlace	Coach_(bus)
A._B._Campbell	birthPlace	Czech writer
Abraham_Hulk_Senior	birthPlace	Fermana_F.C.
Aditi_Shankardass	birthPlace	Gobiinae
Ajahn_Sucitto	birthPlace	Aethes_pardaliana
Alan_Gibson_(director)	birthPlace	Rogersville,_Tennessee
Akwasi_Fobi-Edusei	birthPlace	729
Adem_Poric	birthPlace	Portuguese_Second_Division
Adelaide_Hicks	birthPlace	Province_of_Novara
Alan_Hume	birthPlace	Aaron_Fairooz
Adebayo_Akinfenwa	birthPlace	Oulun_Ty?v?en_Palloilijat
Adele_Dixon	birthPlace	?thelred,_Lord_of_the_Mercians
Adrian_Baker	birthPlace	Adrienne_Augarde
Adam_Buxton	birthPlace	Divisional_Secretariats_of_Sri_Lanka
Abhijit_Pandya	birthPlace	Kazan,_Ankara
Adam_Bond	birthPlace	Aaron_Brant
Adam_Clarke_(cricketer,_born_1984)	birthPlace	3rd_Royal_Bavarian_Division
Aaron_Thomas_(cricketer)	birthPlace	Zederik
Alan_Dickens	birthPlace	Belesbeneh_Rural_District
Alan_Gane	birthPlace	Aislinn_O'Neill
Adrienne_Posta	birthPlace	Djurg?rdens_IF_Fotboll
Al_Christie	birthPlace	Central_District_(Kuhbanan_County)
Alan_Dennis_Clark	birthPlace	Commander-in-Chief of the Continental Navy
Aaron_Hart_(businessman)	birthPlace	KK_Cibona
Alan_Blaikley	birthPlace	Jumping_spider
Alan_Budd	birthPlace	Akilan
Alan_Baker_(mathematician)	birthPlace	Victorian Legislative
Alan_Burns_(author)	birthPlace	Ahmed_Zaki_(actor)
Albert_Chevalier	birthPlace	Abdulaziz_Al-Hamidi
Abram_Belskie	birthPlace	1787
Alan_Johnson	birthPlace	Assyrian_people
Albert_Hammond	birthPlace	Music_director
Alan_Keith	birthPlace	Vale_of_White_Horse
Adrian_Flavin	birthPlace	Ceyhan
Abz_Love	birthPlace	29th_Brigade_(Australia)
Adam_Back	birthPlace	Afgan_Bayramov
Abigail_Hopkins	birthPlace	Oxygen_Games
Abraham_Lubin	birthPlace	3898.0
Albert_Welling	birthPlace	United_Arab_Emirates_national_under-23_football_team
Adrian_Truss	birthPlace	Albion_Center,_New_York
Adam_Ant's_musical_career	birthPlace	0366
Alan_Curbishley	birthPlace	Adamsville,_Pennsylvania
Adrienne_Augarde	birthPlace	McGraw_Hill_Financial
Alastair_Stewart	birthPlace	Abdimajit_Tairov
Abraham_Beame	nationality	Battle_of_Wagram
Alan_Dickie	nationality	Albert_Brooks
Abby_Rakic-Platt	nationality	4719.0
Abbie_Cox	nationality	23rd_Infantry_Division_(United_States)
Adrian_Grant_(squash_player)	nationality	Albert_Gill
Alan_Rickman	nationality	Adam_Hrycaniuk
Albert_Foan	nationality	B¨¦ja?a_Province
Alan_Nelmes	nationality	Acnissa
Agustus_Montrose	nationality	Acokanthera
Adam_Doughty	nationality	Gelechioidea
Alan_Caddy	nationality	Chief London correspondent
Adrian_Sherwood	nationality	Writer and poet
Adam_Nichols	nationality	Alberto_Mart¨ªn_G¨®mez
Alan_Scarfe	nationality	1TV_(Afghan_TV_channel)
Alan_Mowbray	nationality	Wii
Alan_Winstanley	nationality	Acronicta_digna
Alan_Winton	nationality	Akira_Tozawa
Alan_Percy,_8th_Duke_of_Northumberland	nationality	4_More
Akpo_Sodje	nationality	Charisma_Records
Ahmed_Omar_Saeed_Sheikh	nationality	Leverkusen
Albert_Edward_Anson	nationality	Gmina_Grodzisk_Wielkopolski
Adam_Watts_(footballer)	nationality	Agness,_Oregon
Alain_Whyte	nationality	Cruz_Azul_Hidalgo
Adrian_Biddle	nationality	Pakistani_American
Alastair,_2nd_Duke_of_Connaught_and_Strathearn	nationality	Battle_of_Gravelotte
Ainsley_Harriott	nationality	Adakatahalli
Ada_Reeve	nationality	Ahmadabad,_Shiraz
A._A._Milne	nationality	Italian ecclesiastic, diplomat and composer
Adela_Maddison	nationality	Acaena_minor
Albert_Cadwell	nationality	Bago,_Burma
Abraham_Hulk_Senior	nationality	National_Football_League
Adrian_Davis_(governor)	nationality	ABG_Shipyard
Aditi_Shankardass	nationality	FSV_Oggersheim
Alan_Bond_(businessman)	nationality	Abjeez
Ajahn_Sucitto	nationality	FK_Igman_Konjic
Alan_Gibson_(director)	nationality	Aglaia_forbesii
Akwasi_Fobi-Edusei	nationality	Aben,_Louisiana
Adelaide_Hicks	nationality	Agust¨ªn_Viana
Alan_Hunter_(astronomer)	nationality	3596
Adebayo_Akinfenwa	nationality	Neyasar_District
Adam_Clarke_(cricketer,_born_1984)	nationality	16th_West_Virginia_Volunteer_Infantry_Regiment
Alan_Marshall_(producer)	nationality	Adolf_Michael_Boehm
Albert_Harris_(composer)	nationality	Aguelmam_Azegza
Alan_Dickens	nationality	Abunai!
Adrienne_Posta	nationality	Rushden_&_Diamonds_F.C.
Al_Christie	nationality	2010¨C11_Estudiantes_Tecos_season
Abi_Ekoku	nationality	1.294994055168E7
Alan_Dennis_Clark	nationality	Albert,_12th_Prince_of_Thurn_and_Taxis
Alan_Blaikley	nationality	?5
Alan_Howard	nationality	Alburnus_istanbulensis
Adam_Chodzko	nationality	Aino_Kukk
Adelbert_Brownlow-Cust,_3rd_Earl_Brownlow	nationality	Advance_Paper_Corporation
Abram_Belskie	nationality	Empidonax
Alan_Keith	nationality	ABC_Bank_(Uganda)
Adrian_Flavin	nationality	Arm¨¦e_Patriotique_Rwandaise_F.C.
Adam_Back	nationality	Extreme_sport
Alan_Klein	nationality	Nehbandan_County
Abigail_Hopkins	nationality	106596.0
Abraham_Lubin	nationality	Potchefstroom
Albert_Clauson,_1st_Baron_Clauson	nationality	Achnatherum_lettermanii
Adrian_Parker	nationality	1778
Adrienne_Augarde	nationality	Sakarya_Province
Alan_Breeze	nationality	Miss World 2001, Most Beautiful Girl in Nigeria 2001 and Top 10 at Miss Universe 2001
Abraham_de_Sola	nationality	Agonopterix_yeatiana
Adrian_Paul	nationality	Zimbabwe_Saints_F.C.
Adolfo_Canepa	nationality	Agladrillia_piscorum
